VISITOR, HOME, DATE
"Seahawks","Falcons","11-10-2013,13:00"
"Panthers","49ers","11-10-2013,16:05"
"Texans","Cardinals","11-10-2013,16:25"
"Broncos","Chargers","11-10-2013,16:25"
"Cowboys","Saints","11-10-2013,20:30"
"Dolphins","Bucs","11-11-2013,20:40"
"Colts","Titans","11-14-2013,20:25"
"Raiders","Texans","11-17-2013,13:00"
"Jets","Bills","11-17-2013,13:00"
"Browns","Bengals","11-17-2013,13:00"
"Ravens","Bears","11-17-2013,13:00"
"Chargers","Dolphins","11-17-2013,13:00"
"Cardinals","Jaguars","11-17-2013,13:00"
"Falcons","Bucs","11-17-2013,13:00"
"Lions","Steelers","11-17-2013,13:00"
"Redskins","Eagles","11-17-2013,13:00"
"Chiefs","Broncos","11-17-2013,16:05"
"Vikings","Seahawks","11-17-2013,16:25"
"49ers","Saints","11-17-2013,16:25"
"Packers","Giants","11-17-2013,20:30"
"Patriots","Panthers","11-18-2013,20:40"
"Saints","Falcons","11-21-2013,20:25"
"Panthers","Dolphins","11-24-2013,13:00"
"Chargers","Chiefs","11-24-2013,13:00"
"Steelers","Browns","11-24-2013,13:00"
"Jaguars","Texans","11-24-2013,13:00"
"Jets","Ravens","11-24-2013,13:00"
"Vikings","Packers","11-24-2013,13:00"
"Bucs","Lions","11-24-2013,13:00"
"Bears","Rams","11-24-2013,13:00"
"Colts","Cardinals","11-24-2013,16:05"
"Titans","Raiders","11-24-2013,16:05"
"Cowboys","Giants","11-24-2013,16:25"
"Broncos","Patriots","11-24-2013,20:30"
"49ers","Redskins","11-25-2013,20:40"
"Packers","Lions","11-28-2013","12:30"
"Raiders","Cowboys","11-28-2013,16:30"
"Steelers","Ravens","11-28-2013,20:30"
"Broncos","Chiefs","12-1-2013,13:00"
"Jaguars","Browns","12-1-2013,13:00"
"Titans","Colts","12-1-2013,13:00"
"Cardinals","Eagles","12-1-2013,13:00"
"Dolphins","Jets","12-1-2013,13:00"
"Bears","Vikings","12-1-2013,13:00"
"Bucs","Panthers","12-1-2013,13:00"
"Rams","49ers","12-1-2013,16:05"
"Falcons","Bills","12-1-2013,16:05"
"Bengals","Chargers","12-1-2013,16:25"
"Patriots","Texans","12-1-2013,16:25"
"Giants","Redskins","12-1-2013,20:30"
"Saints","Seahawks","12-2-2013,20:40"
"Texans","Jaguars","12-5-2013,20:25"
"Browns","Patriots","12-8-2013,13:00"
"Colts","Bengals","12-8-2013,13:00"
"Bills","Bucs","12-8-2013,13:00"
"Vikings","Ravens","12-8-2013,13:00"
"Dolphins","Steelers","12-8-2013,13:00"
"Raiders","Jets","12-8-2013,13:00"
